#Position (bp)	insert size
2093611.5	260.75329163923635
2103495.5	257.8439524838013
2115021.5	256.59618922470435
2126547.5	259.36557356131175
2138073.5	274.596208148447
2149599.5	259.43707186030895
2161125.5	256.04953408533595
2172651.5	264.5420547356355
2184177.5	261.2353927511931
2195703.5	257.4655565999731
2201671.5	188.95402298850576
2207434.5	259.896011816839
2218755.5	261.2163412870571
2230281.5	264.6276321769429
2241807.5	262.6046611381184
2253333.5	262.8354155350353
2264859.5	259.3957482753766
2276385.5	262.97947789346614
2287911.5	260.9208953148895
2299437.5	255.74254232733136
2309404.0	256.88684526189525
2315167.0	235.59846998823068
2322489.5	259.0401944043084
2334015.5	254.4511158342189
2345541.5	260.82873693489483
2357067.5	261.9729070712544
2368593.5	258.9337996502623
2380119.5	260.0109304549802
2391645.5	260.87788523533203
2403171.5	263.6228024819028
2414476.5	262.4065685164213
2420239.5	249.6809523809524
2426223.5	260.9511440940012
2437749.5	258.91902966726764
2449275.5	258.3219450182743
2460801.5	255.94470625196357
2472327.5	257.7618176273254
2483853.5	261.56813348601344
2495379.5	263.77292176039117
2506905.5	260.4274865991662
2514128.5	258.95066018068104
2519891.5	266.03786637538684
2529957.5	266.3518093781855
2541483.5	256.2393290604118
2553009.5	259.5184121180465
2564535.5	260.7877611140868
2576061.5	262.1479638601545
2587587.5	261.14763636363637
2598605.0	255.50396024227365
2604368.0	265.340243902439
2610639.5	259.7448379597976
2622165.5	259.9539227895392
2633691.5	253.38560885608857
2645217.5	252.22532960447464
2656743.5	254.430644019816
2668269.5	260.17884615384617
2679795.5	263.7464271131074
2687991.0	261.22161642078254
2693754.0	253.6312737006469
2702847.5	261.72081363701477
2714373.5	263.05875068794717
2725899.5	256.0174076057847
2737425.5	260.91654581410677
2748951.5	254.16058492084787
2760477.5	258.91220677061386
2769856.0	262.5766439909297
2775619.0	262.5088659793814
2783529.5	259.61008742434433
2795055.5	255.1885234429671
2806581.5	258.8782489740082
2818107.5	261.26079320942483
2829633.5	256.5890969495621
2841159.5	257.97764465225015
2847329.0	226.95511221945137
2853092.0	262.44476041518556
2864211.5	264.1917910447761
2875737.5	255.8505616559384
2887263.5	257.9107906635708
2898789.5	258.5710245532845
2909231.5	259.2906596995428
2914994.5	258.35333333333335
2921841.5	258.4015105740181
2933367.5	266.24402891263355
2944893.5	259.613775065388
2956419.5	266.07150035893756
2967945.5	262.05388402625823
2976583.0	242.40453808752025
2982346.0	251.9108296717498
2990997.5	257.66675368750816
3002523.5	260.0065359477124
3014049.5	260.6249341064839
3025575.5	261.31623340707966
3037101.5	257.0215348007139
3043289.0	191.51201478743067
3049052.0	259.5754595291841
3060153.5	252.35104082184375
3071679.5	259.8373349339736
3083205.5	260.73345179920034
3094731.5	259.2982722036981
3104199.0	244.40139322603892
3109962.0	244.92053167420815
3117783.5	260.18470651588586
3129309.5	259.86620190374043
3140835.5	260.8873794321424
3152361.5	263.7117568962974
3163887.5	261.0881959910913
3170696.5	248.37698412698413
3176459.5	261.58369098712444
3186939.5	261.73306294126485
3198465.5	260.413113317757
3209991.5	262.3483128098513
3221517.5	260.7957361758827
3228492.5	229.20956175298804
3234255.5	256.35980441746756
3244569.5	265.1205507924136
3256095.5	260.8972143409853
3267621.5	266.4311346980035
3279147.5	260.68143273003415
3285591.0	236.14397321428572
3291354.0	261.1783570300158
3302199.5	263.16644275264963
3313725.5	264.3439950980392
3325251.5	260.6569286452947
3336130.0	258.9557157569516
3341893.0	260.0127478753541
3348303.5	261.14337545352186
3359829.5	260.5208892295899
3371355.5	267.9782483434169
3382881.5	259.12774882420234
3392397.0	258.07949125596184
3398160.0	262.65291365376436
3405933.5	257.0234550561798
3417459.5	260.6216938660664
3428985.5	258.9018779342723
3440511.5	258.03917933506364
3448256.5	258.6803463855422
3454019.5	268.89657931586316
3463563.5	260.92205300395733
3475089.5	259.12190996617227
3486615.5	258.38086780005074
3496129.0	264.65752477529384
3501892.0	231.7262617621899
3509667.5	244.0375113180701
3521193.5	260.1626788036411
3532719.5	261.75852585258525
3543594.5	266.3724626278521
3549357.5	241.9897828863346
3555771.5	240.0795278909653
3567297.5	243.74168236032642
3578823.5	248.8386991338454
3590096.0	245.55226209048362
3595859.0	273.06832298136646
3601875.5	263.00165712564024
3613401.5	256.4538181818182
3624927.5	259.39309626543667
3636440.0	258.47100681302044
3642203.0	272.1666666666667
3647979.5	255.5977744605781
3659505.5	255.8078936200311
3671031.5	263.25588491717525
3682402.0	256.6313642756681
