#Position (bp)	Coverage
3591748.0	162.69754416199913
3603353.0	161.37397673416632
3614958.0	164.13795777682034
3626563.0	168.94062903920724
3638168.0	178.19181387333046
3649773.0	187.8089616544593
3661378.0	184.89806118052564
3672983.0	170.62645411460576
3684588.0	181.13692373976735
3696193.0	186.72899612236105
3707798.0	191.55088323998277
3719403.0	189.41619991383024
3731008.0	195.37457992244723
3742613.0	166.77940542869453
3754218.0	162.66273158121498
3765823.0	170.4749676863421
3777428.0	193.15234812580783
3789033.0	181.29435588108575
3800638.0	153.98130116329168
3812243.0	181.85609651012496
3823848.0	175.3196897888841
3835453.0	172.77483843171046
3847058.0	155.2638517880224
3858663.0	168.1288237828522
3870268.0	183.89918138733304
3881873.0	190.8479965532098
3893478.0	192.80301594140457
3905083.0	183.90133563119346
3916688.0	197.0685911245153
3928293.0	175.70564411891425
3939898.0	198.56148211977595
3951503.0	184.9011632916846
3963108.0	193.83291684618698
3974713.0	178.64661783713916
3986318.0	176.97845756139594
3997923.0	175.34442050840156
4009528.0	175.39345109866437
4021133.0	185.12641102972856
4032738.0	180.79758724687633
4044343.0	184.89478672985783
4055948.0	191.1904351572598
4067553.0	184.65833692373977
4079158.0	187.66841878500645
4090763.0	168.85454545454544
4102368.0	176.88074105988798
4113973.0	179.45575183110728
4125578.0	178.0739336492891
4137183.0	181.64118914261095
4148788.0	174.72046531667385
4160393.0	188.74114605773374
4171998.0	208.97570012925462
4183603.0	205.65282205945712
4195208.0	165.99801809564843
4206813.0	180.83274450667815
4218418.0	167.7057302886687
4230023.0	178.15303748384318
4241628.0	167.6080137871607
4253233.0	179.8058595433003
4264838.0	172.3638087031452
4276443.0	167.2654028436019
4288048.0	167.76984058595434
4299653.0	177.21792330891856
4311258.0	170.66367944851356
4322863.0	154.59862128392933
4334468.0	189.3925032313658
4346073.0	187.27746660922017
4357678.0	190.23386471348556
4369283.0	182.0154243860405
4380888.0	191.33959500215425
4392493.0	164.54855665661353
4404098.0	187.15674278328308
4415703.0	172.33752692804825
4427308.0	180.60999569151227
4438913.0	174.05928479103835
4450518.0	177.7904351572598
4462123.0	186.13020249892287
4473728.0	180.08263679448513
4485333.0	175.10392072382595
4496938.0	206.2185264971995
4508543.0	206.10469625161568
4520148.0	186.79638087031452
4531753.0	200.25015079707023
4543358.0	185.20835846617837
4554963.0	184.55932787591556
4566568.0	164.23550193881948
4578173.0	174.56027574321413
4589778.0	182.77630331753554
4601383.0	174.1697544161999
4612988.0	168.52089616544592
4624593.0	173.64722102542007
4636024.0	175.4180509904948
